"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6254","Toggle-all completes all todos","chromium","Wed Feb 25 11:02:22 UTC 2026","failed","Wed Feb 25 11:02:29 UTC 2026","Check / Uncheck Todos","01.check.uncheck.spec.ts","",""
"","956","Counter: 1 total, 0 completed → ""1 item left""","chromium","Wed Feb 25 11:02:59 UTC 2026","passed","Wed Feb 25 11:03:00 UTC 2026","Item Counter","03.item_counter.spec.ts","",""
"","1023","Counter: 2 total, 2 completed → ""0 items left""","chromium","Wed Feb 25 11:03:02 UTC 2026","passed","Wed Feb 25 11:03:03 UTC 2026","Item Counter","03.item_counter.spec.ts","",""
"","952","Counter: 2 total, 0 completed → ""2 items left""","chromium","Wed Feb 25 11:03:00 UTC 2026","passed","Wed Feb 25 11:03:01 UTC 2026","Item Counter","03.item_counter.spec.ts","",""
"","1026","Delete (X) button appears on hover","chromium","Wed Feb 25 11:03:12 UTC 2026","passed","Wed Feb 25 11:03:13 UTC 2026","Deleting Todos","05.deleting.spec.ts","",""
"","1012","Clear edit field and press Enter removes the todo","chromium","Wed Feb 25 11:03:11 UTC 2026","passed","Wed Feb 25 11:03:12 UTC 2026","Editing Todos","04.editing.spec.ts","",""
"","993","Counter: 2 total, 1 completed → ""1 item left""","chromium","Wed Feb 25 11:03:01 UTC 2026","passed","Wed Feb 25 11:03:02 UTC 2026","Item Counter","03.item_counter.spec.ts","",""
"","960","Mark a todo as completed","chromium","Wed Feb 25 11:02:05 UTC 2026","passed","Wed Feb 25 11:02:06 UTC 2026","Check / Uncheck Todos","01.check.uncheck.spec.ts","",""
"","1040","Double-click enters edit mode with pre-filled text","chromium","Wed Feb 25 11:03:08 UTC 2026","passed","Wed Feb 25 11:03:09 UTC 2026","Editing Todos","04.editing.spec.ts","",""
"","941","Todo is added by pressing Enter — no button required","chromium","Wed Feb 25 11:03:19 UTC 2026","passed","Wed Feb 25 11:03:19 UTC 2026","Adding Todos","06.adding.spec.ts","",""
"","988","Counter: 3 total, 1 completed → ""2 items left""","chromium","Wed Feb 25 11:03:04 UTC 2026","passed","Wed Feb 25 11:03:05 UTC 2026","Item Counter","03.item_counter.spec.ts","",""
"","1143","Active filter updates in real time when a todo is completed","chromium","Wed Feb 25 11:02:57 UTC 2026","passed","Wed Feb 25 11:02:58 UTC 2026","Filtering Todos","02.filtering.spec.ts","",""
"","6280","Toggle-all back to active when all are completed","chromium","Wed Feb 25 11:02:45 UTC 2026","failed","Wed Feb 25 11:02:51 UTC 2026","Check / Uncheck Todos","01.check.uncheck.spec.ts","",""
"","981","Add a single todo item","chromium","Wed Feb 25 11:03:16 UTC 2026","passed","Wed Feb 25 11:03:17 UTC 2026","Adding Todos","06.adding.spec.ts","",""
"","1024","Save edited text by pressing Enter","chromium","Wed Feb 25 11:03:09 UTC 2026","passed","Wed Feb 25 11:03:10 UTC 2026","Editing Todos","04.editing.spec.ts","",""
"","1092","Counter: 3 total, 3 completed → ""0 items left""","chromium","Wed Feb 25 11:03:06 UTC 2026","passed","Wed Feb 25 11:03:07 UTC 2026","Item Counter","03.item_counter.spec.ts","",""
"","1063","Active filter shows only incomplete todos","chromium","Wed Feb 25 11:02:53 UTC 2026","passed","Wed Feb 25 11:02:54 UTC 2026","Filtering Todos","02.filtering.spec.ts","",""
"","930","Prevent adding a ""empty string"" todo","chromium","Wed Feb 25 11:03:19 UTC 2026","passed","Wed Feb 25 11:03:20 UTC 2026","Adding Todos","06.adding.spec.ts","",""
"","1098","Default view shows All tab selected and all todos visible","chromium","Wed Feb 25 11:02:52 UTC 2026","passed","Wed Feb 25 11:02:53 UTC 2026","Filtering Todos","02.filtering.spec.ts","",""
"","956","Counter: 3 total, 0 completed → ""3 items left""","chromium","Wed Feb 25 11:03:03 UTC 2026","passed","Wed Feb 25 11:03:04 UTC 2026","Item Counter","03.item_counter.spec.ts","",""
"","1231","Switching back to All restores full list","chromium","Wed Feb 25 11:02:56 UTC 2026","passed","Wed Feb 25 11:02:57 UTC 2026","Filtering Todos","02.filtering.spec.ts","",""
"","1028","Counter: 3 total, 2 completed → ""1 item left""","chromium","Wed Feb 25 11:03:05 UTC 2026","passed","Wed Feb 25 11:03:06 UTC 2026","Item Counter","03.item_counter.spec.ts","",""
"","935","Prevent adding a ""multiple spaces"" todo","chromium","Wed Feb 25 11:03:21 UTC 2026","passed","Wed Feb 25 11:03:22 UTC 2026","Adding Todos","06.adding.spec.ts","",""
"","943","Input field is cleared after submitting a todo","chromium","Wed Feb 25 11:03:18 UTC 2026","passed","Wed Feb 25 11:03:19 UTC 2026","Adding Todos","06.adding.spec.ts","",""
"","952","Prevent adding a ""single space"" todo","chromium","Wed Feb 25 11:03:20 UTC 2026","passed","Wed Feb 25 11:03:21 UTC 2026","Adding Todos","06.adding.spec.ts","",""
"","1056","Completed filter shows only completed todos","chromium","Wed Feb 25 11:02:54 UTC 2026","passed","Wed Feb 25 11:02:55 UTC 2026","Filtering Todos","02.filtering.spec.ts","",""
"","953","Add multiple todo items","chromium","Wed Feb 25 11:03:17 UTC 2026","passed","Wed Feb 25 11:03:18 UTC 2026","Adding Todos","06.adding.spec.ts","",""
"","955","Counter and footer are hidden when list is empty","chromium","Wed Feb 25 11:03:07 UTC 2026","passed","Wed Feb 25 11:03:08 UTC 2026","Item Counter","03.item_counter.spec.ts","",""
"","1016","Cancel editing by pressing Escape restores original text","chromium","Wed Feb 25 11:03:10 UTC 2026","passed","Wed Feb 25 11:03:11 UTC 2026","Editing Todos","04.editing.spec.ts","",""
"","1252","Delete last remaining todo hides footer and counter","chromium","Wed Feb 25 11:03:14 UTC 2026","passed","Wed Feb 25 11:03:16 UTC 2026","Deleting Todos","05.deleting.spec.ts","",""
"","1163","Active filter shows empty list when all todos are completed","chromium","Wed Feb 25 11:02:58 UTC 2026","passed","Wed Feb 25 11:02:59 UTC 2026","Filtering Todos","02.filtering.spec.ts","",""
"","1057","Delete a single todo using the X button","chromium","Wed Feb 25 11:03:13 UTC 2026","passed","Wed Feb 25 11:03:14 UTC 2026","Deleting Todos","05.deleting.spec.ts","",""
"","869","Unmark a completed todo back to active","chromium","Wed Feb 25 11:02:07 UTC 2026","passed","Wed Feb 25 11:02:08 UTC 2026","Check / Uncheck Todos","01.check.uncheck.spec.ts","",""
